window,result,iou,gt_id,prediction_id,confidence
window_048,TP,0.6365958822617214,1.0,0.0,0.5947986245155334
window_048,FN,,0.0,,
window_049,TP,0.9656650614279823,1.0,1.0,0.4643618166446686
window_049,TP,0.8953773778147109,0.0,0.0,0.9103623032569884
window_049,FN,,2.0,,
window_050,TP,0.5009973961603947,2.0,0.0,0.836392879486084
window_050,FN,,0.0,,
window_050,FN,,1.0,,
window_051,FN,,0.0,,
window_051,FN,,1.0,,
window_051,FN,,2.0,,
window_051,FN,,3.0,,
window_051,FN,,4.0,,
window_051,FP,,,0.0,0.4733509421348572
window_052,TP,0.9773466096781726,0.0,0.0,0.9316152334213256
window_052,TP,0.7341521211205558,2.0,1.0,0.926893949508667
window_052,FN,,1.0,,
window_052,FN,,3.0,,
window_052,FN,,4.0,,
window_052,FP,,,2.0,0.7986817359924316
window_053,TP,0.7930768874735649,1.0,1.0,0.6806123852729797
window_053,TP,0.6509473486264361,2.0,0.0,0.9787807464599608
window_053,FN,,0.0,,
window_054,TP,0.7171299250324548,2.0,1.0,0.255728542804718
window_054,FN,,0.0,,
window_054,FN,,1.0,,
window_054,FP,,,0.0,0.8949795961380005
window_055,TP,0.6312891101288106,2.0,0.0,0.3374288380146026
window_055,FN,,0.0,,
window_055,FN,,1.0,,
window_056,TP,0.9761592126644584,0.0,1.0,0.9023193717002868
window_056,TP,0.595763055120871,1.0,0.0,0.93819659948349
window_056,FN,,2.0,,
window_057,TP,0.9787158089222683,0.0,1.0,0.8458853960037231
window_057,TP,0.7284744373507868,1.0,0.0,0.9713788032531738
window_057,FN,,2.0,,
window_058,FN,,0.0,,
window_058,FN,,1.0,,
window_059,TP,0.9846998922590067,1.0,0.0,0.5946831703186035
window_059,FN,,0.0,,
window_060,FN,,0.0,,
window_060,FN,,1.0,,
window_060,FN,,2.0,,
window_060,FN,,3.0,,
window_061,FN,,0.0,,
window_061,FN,,1.0,,
window_061,FN,,2.0,,
window_061,FN,,3.0,,
window_062,TP,0.9822675061780896,1.0,0.0,0.9302514791488647
window_062,TP,0.5448379384425547,3.0,1.0,0.5699533224105835
window_062,FN,,0.0,,
window_062,FN,,2.0,,
window_062,FN,,4.0,,
window_063,FN,,0.0,,
window_063,FN,,1.0,,
window_063,FN,,2.0,,
window_064,TP,0.7163779459516968,1.0,0.0,0.8296329379081726
window_064,FN,,0.0,,
window_064,FN,,2.0,,
window_064,FN,,3.0,,
window_065,TP,0.9540484217608045,0.0,0.0,0.8414711356163025
window_065,FP,,,1.0,0.528509259223938
window_065,FP,,,2.0,0.2698671817779541
window_066,TP,0.9721504135131831,0.0,0.0,0.8516595363616943
window_066,FP,,,1.0,0.3642714321613312
window_067,TP,0.9532154404463142,2.0,0.0,0.951478898525238
window_067,TP,0.9448949835085809,0.0,3.0,0.7514373660087585
window_067,TP,0.8023414859710296,1.0,2.0,0.7890945672988892
window_067,FP,,,1.0,0.8358510136604309
window_068,TP,0.9606482073814326,2.0,0.0,0.8463881611824036
window_068,FN,,0.0,,
window_068,FN,,1.0,,
window_068,FN,,3.0,,
window_069,TP,0.7513876303317345,2.0,0.0,0.9244027137756348
window_069,TP,0.6350445350361846,3.0,1.0,0.4246905446052551
window_069,FN,,0.0,,
window_069,FN,,1.0,,
window_070,TP,0.7897276109857095,1.0,0.0,0.557259738445282
window_070,FN,,0.0,,
window_070,FN,,2.0,,
window_070,FN,,3.0,,
window_071,TP,0.7974031962848223,0.0,0.0,0.933312177658081
window_071,TP,0.7873477485877736,1.0,1.0,0.6905043721199036
window_071,FN,,2.0,,
window_072,TP,0.9929188906905524,0.0,0.0,0.9537010788917542
window_072,TP,0.8723886754206535,2.0,2.0,0.6453710794448853
window_072,TP,0.5914034865479753,4.0,1.0,0.7643166184425354
window_072,FN,,1.0,,
window_072,FN,,3.0,,
window_072,FN,,5.0,,
window_072,FN,,6.0,,
window_072,FP,,,3.0,0.5418549180030823
window_072,FP,,,4.0,0.3255587518215179
window_073,TP,0.5375997701077273,0.0,0.0,0.7129039168357849
window_073,FN,,1.0,,
window_073,FN,,2.0,,
window_074,TP,0.6716180413572502,0.0,0.0,0.8319033980369568
window_074,FN,,1.0,,
window_074,FP,,,1.0,0.5497591495513916
window_075,TP,0.9061064021092754,1.0,0.0,0.8697719573974609
window_075,FN,,0.0,,
window_075,FP,,,1.0,0.6905510425567627
window_075,FP,,,2.0,0.3401601314544678
window_076,TP,0.8727978568764634,2.0,1.0,0.5315818190574646
window_076,FN,,0.0,,
window_076,FN,,1.0,,
window_076,FP,,,0.0,0.7480798363685608
window_076,FP,,,2.0,0.404632568359375
window_077,TP,0.7113519404566353,2.0,0.0,0.9638570547103882
window_077,TP,0.5458768534803196,1.0,1.0,0.8937361836433411
window_077,FN,,0.0,,
window_077,FN,,3.0,,
window_077,FN,,4.0,,
window_077,FN,,5.0,,
window_077,FP,,,2.0,0.547483503818512
window_078,TP,0.7363774770019469,0.0,0.0,0.8767960667610168
window_078,FN,,1.0,,
window_078,FN,,2.0,,
window_078,FN,,3.0,,
window_079,FN,,0.0,,
window_079,FN,,1.0,,
window_079,FN,,2.0,,
window_079,FP,,,0.0,0.4043313860893249
window_079,FP,,,1.0,0.2848519384860992
window_080,TP,0.847258534749349,0.0,0.0,0.8759366869926453
window_081,FN,,0.0,,
window_081,FN,,1.0,,
